ano,uf,sq_candidato,nome,documento,fonte_analise,confianca,status_etapa2,classificacao,registros_criminais_explicitos
2026,AC,10002532416,ADGICLEIA DOS SANTOS GUIMARÃES,AC/2026AC10002532416_10016848250.pdf.pdf,stage1_nano_screening,screened,not_selected,negative_criminal,0
2026,AC,10002532418,JOZINEY ALVES AMORIM,AC/2026AC10002532418_10016856837.pdf.pdf,stage2_mini,review_pending,evidence_checked_semantic_review_pending,inconclusive,0
2026,AC,10002532418,JOZINEY ALVES AMORIM,AC/2026AC10002532418_10016875847.pdf.pdf,stage2_mini,review_pending,evidence_checked_semantic_review_pending,positive_criminal,1
2026,AC,10002532421,VAGNER JOSÉ SALES,AC/2026AC10002532421_10016848251.pdf.pdf,stage1_nano_screening,screened,not_selected,negative_criminal,0
2026,AC,10002532489,ROBERTO DUARTE JUNIOR,AC/2026AC10002532489_10017004284.pdf.pdf,stage2_mini,review_pending,evidence_checked_semantic_review_pending,positive_criminal,0
2026,AC,10002533896,RAIMUNDO NONATO MOREIRA DA SILVA,AC/2026AC10002533896_10016999518.pdf.pdf,stage1_nano_screening,screened,not_selected,negative_criminal,0
2026,AC,10002533896,RAIMUNDO NONATO MOREIRA DA SILVA,AC/2026AC10002533896_10016999519.pdf.pdf,stage1_nano_screening,screened,not_selected,negative_criminal,0
2026,AC,10002533995,MARIA HORLEIZIA DE OLIVEIRA,AC/2026AC10002533995_10017093857. 04. CERTIDÃO JUDICIAL CRIMINAL DA JUSTIÇA ESTADUAL 1º GRAU - MARIA HORLEIZIA DE OLIVEIRA.pdf.pdf,stage1_nano_screening,screened,not_selected,negative_criminal,0
2026,AC,10002533995,MARIA HORLEIZIA DE OLIVEIRA,AC/2026AC10002533995_10017127469. 03. CERTIDÃO JUDICIAL PARA FINS ELEITORAIS DA JUSTIÇA ESTADUAL 2º GRAU.pdf.pdf,stage1_nano_screening,screened,not_selected,negative_criminal,0
2026,AC,10002534775,ANTONIO PEDRO MENDONÇA,AC/2026AC10002534775_10016924973.pdf.pdf,stage1_nano_screening,screened,not_selected,negative_criminal,0
2026,AC,10002534775,ANTONIO PEDRO MENDONÇA,AC/2026AC10002534775_10017129716.1 JF 2º GRAU CERT FINS ELEITORAIS.pdf.pdf,stage1_nano_screening,screened,not_selected,negative_criminal,0
2026,AC,10002534776,MARIA ELIZABETE DE OLIVEIRA LIMA,AC/2026AC10002534776_10016890852.1 JF 2º GRAU CERT FINS ELEITORAIS (5).pdf.pdf,stage1_nano_screening,screened,not_selected,negative_criminal,0
2026,AC,10002534776,MARIA ELIZABETE DE OLIVEIRA LIMA,AC/2026AC10002534776_10017130861.pdf.pdf,stage2_mini,review_pending,evidence_checked_semantic_review_pending,negative_criminal,0
2026,AC,10002534778,MAYCON MOREIRA DA SILVA,AC/2026AC10002534778_10016998901.1 JF 2º GRAU CERT FINS ELEITORAIS (8).pdf.pdf,stage1_nano_screening,screened,not_selected,negative_criminal,0
2026,AC,10002534778,MAYCON MOREIRA DA SILVA,AC/2026AC10002534778_10017130864.pdf.pdf,stage2_mini,review_pending,evidence_checked_semantic_review_pending,negative_criminal,0
2026,AC,10002534779,JOELSO DOS SANTOS PONTES,AC/2026AC10002534779_10016908284.pdf.pdf,stage2_mini,review_pending,evidence_checked_semantic_review_pending,negative_criminal,0
2026,AC,10002534779,JOELSO DOS SANTOS PONTES,AC/2026AC10002534779_10017127461.1 JF 2º GRAU CERT FINS ELEITORAIS.pdf.pdf,stage1_nano_screening,screened,not_selected,negative_criminal,0
2026,AC,10002534781,JOZIMILDO GOMES DA SILVA,AC/2026AC10002534781_10016897004.1 JF 2º GRAU CERT FINS ELEITORAIS (7).pdf.pdf,stage2_mini,review_pending,evidence_checked_semantic_review_pending,negative_criminal,0
2026,AC,10002534781,JOZIMILDO GOMES DA SILVA,AC/2026AC10002534781_10017129713.pdf.pdf,stage2_mini,review_pending,evidence_checked_semantic_review_pending,negative_criminal,0
2026,AC,10002534783,ELTER DE QUEIROZ NOBREGA,AC/2026AC10002534783_10016905294.pdf.pdf,stage1_nano_screening,screened,not_selected,negative_criminal,0
2026,AC,10002534783,ELTER DE QUEIROZ NOBREGA,AC/2026AC10002534783_10017130860.1 JF 2º GRAU CERT FINS ELEITORAIS (12).pdf.pdf,stage1_nano_screening,screened,not_selected,negative_criminal,0
2026,AC,10002534784,JAILSON PONTES DE AMORIM,AC/2026AC10002534784_10017056225.pdf.pdf,stage2_mini,review_pending,evidence_checked_semantic_review_pending,negative_criminal,0
2026,AC,10002534784,JAILSON PONTES DE AMORIM,AC/2026AC10002534784_10017127472.pdf.pdf,stage1_nano_screening,screened,not_selected,negative_criminal,0
2026,AC,10002534785,JAMYL ASFURY MARTINS OLIVEIRA,AC/2026AC10002534785_10017012377.pdf.pdf,stage1_nano_screening,screened,not_selected,negative_criminal,0
2026,AC,10002534785,JAMYL ASFURY MARTINS OLIVEIRA,AC/2026AC10002534785_10017127474.1 JF 2º GRAU CERT FINS ELEITORAIS (10).pdf.pdf,stage1_nano_screening,screened,not_selected,negative_criminal,0
2026,AC,10002534786,MOISÉS DINIZ LIMA,AC/2026AC10002534786_10016998026.pdf.pdf,stage2_mini,review_pending,evidence_checked_semantic_review_pending,negative_criminal,0
2026,AC,10002534786,MOISÉS DINIZ LIMA,AC/2026AC10002534786_10017130863.1 JF 2º CERT. FINS ELEITORAL.pdf.pdf,stage1_nano_screening,screened,not_selected,negative_criminal,0
